
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 52.454 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.599	6.372	
Aelurodon_asthenostylus	17.23	13.862	
Aelurodon_ferox	21.66	4.918	
Aelurodon_mcgrewi	15.835	12.778	
Aelurodon_montanensis	15.823	15.823	
Aelurodon_stirtoni	18.957	10.341	
Aelurodon_taxoides	22.374	5.992	
Aelurodon_wheelerianus	17.159	17.159	
Alopex	1.893	1.893	
Alopex_lagopus	1.718	0.004	
Archaeocyon_falkenbachi	30.511	30.511	
Archaeocyon_leptodus	33.223	20.791	
Archaeocyon_pavidus	33.063	20.561	
Borophaginae	22.565	5.085	
Borophagus	10.291	1.802	
Borophagus_diversidens	4.646	1.814	
Borophagus_dudleyi	5.249	5.249	
Borophagus_hilli	13.788	1.852	
Borophagus_littoralis	21.949	10.311	
Borophagus_orc	10.255	5.163	
Borophagus_parvus	9.201	6.421	
Borophagus_pugnator	17.678	5.311	
Borophagus_secundus	22.108	5.098	
Caedocyon_tedfordi	28.591	28.591	
Canidae	37.13	0.016	
Caninae	25.747	0.07	
Canini	10.215	1.82	
Canis	16.185	0.001	
Canis_(Pseudalopex)	0.649	0.014	
Canis_adustus	2.968	0.009	extant
Canis_anthus	1.388	0.013	extant
Canis_apolloniensis	1.146	1.146	
Canis_armbrusteri	4.328	0.106	
Canis_aureus	3.171	0.005	extant
Canis_cedazoensis	1.182	1.182	
Canis_dirus	2.541	0.015	
Canis_edwardii	8.839	0.376	
Canis_familiaris	1.344	0.001	extant
Canis_ferox	10.014	1.821	
Canis_latrans	4.598	0.003	extant
Canis_lepophagus	7.857	0.014	
Canis_lupus	2.862	0.001	extant
Canis_mesomelas	4.048	0.003	extant
Canis_proplatensis	2.041	2.041	
Canis_rufus	4.614	0.109	extant
Canis_thooides	4.796	4.796	
Carpocyon	15.776	13.952	
Carpocyon_compressus	15.787	11.146	
Carpocyon_limosus	9.932	6.155	
Carpocyon_robustus	13.339	8.02	
Carpocyon_webbi	14.122	5.009	
Cerdocyon_avius	4.718	2.669	
Cerdocyon_texanus	10.27	2.197	
Cerdocyon_thous	0.08	0.004	
Chailicyon_crassidens	38.224	38.224	
Chrysocyon	1.171	1.171	
Chrysocyon_brachyurus	2.387	0.497	
Chrysocyon_nearcticus	3.908	2.692	
Cormocyon	29.472	29.472	
Cormocyon_copei	30.04	13.337	
Cormocyon_haydeni	28.819	22.51	
Cubacyon_transversidens	1.749	1.749	
Cuon	0.725	0.04	
Cuon_alpinus	2.373	0.091	
Cynarctoides_acridens	26.748	13.666	
Cynarctoides_emryi	19.744	18.04	
